,Unnamed: 0,Price,Address,Beds,Bathrooms,Square Footage,Property type
406,406,"$160,000","1430 Seagirt Blvd APT 1D, Far Rockaway, NY 11691",2 bds,1 ba,-- sqft,- Condo for sale
407,407,"$2,600,000","37 Bridge St PENTHOUSE B, Brooklyn, NY 11201",3 bds,2 ba,"1,600 sqft",- Condo for sale
408,408,"$368,000","230-11 Grand Central Pkwy FLOOR A-1, Oakland Gardens, NY 11364",2 bds,1 ba,825 sqft,- Condo for sale
409,409,"$368,000","230-11 Grand Central Pkwy #A, Oakland Gardens, NY 11364",2 bds,1 ba,825 sqft,- Condo for sale
410,410,"$599,000","94-09 104th St, Ozone Park, NY 11416",3 bds,2 ba,"1,176 sqft",- House for sale
411,411,"$65,000","147 Edgewater Park #D, Bronx, NY 10465",2 bds,1 ba,-- sqft,- Condo for sale
412,412,"$669,000","10720 139th St, Jamaica, NY 11435",3 bds,3 ba,976 sqft,- House for sale
413,413,"$300,000","303 W 122nd St APT 43, New York, NY 10027",2 bds,1 ba,-- sqft,- Condo for sale
414,414,"$1,698,000","23 Ingram St, Forest Hills, NY 11375",4 bds,3 ba,"1,544 sqft",- House for sale
415,415,"$988,000","41 Rugby Ave, Staten Island, NY 10301",5 bds,4 ba,"3,200 sqft",- Multi-family home for sale
416,416,"$329,900","5 Windham Loop APT 1H, Staten Island, NY 10314",1 bd,1 ba,738 sqft,- Condo for sale
417,417,"$4,700,000","105 Norfolk St #15, New York, NY 10002",2 bds,2 ba,"1,975 sqft",- For sale by owner
418,418,"$259,000","99-25 60th Ave #2H, Corona, NY 11368",2 bds,1 ba,900 sqft,- Condo for sale
419,419,"$699,000","4020 Hubbard Pl, Brooklyn, NY 11210",4 bds,2 ba,"1,900 sqft",- House for sale
420,420,"$250,000","230 W 105th St APT 14F, New York, NY 10025",1 bd,1 ba,720 sqft,- Condo for sale
421,421,"$824,999","231 Laconia Ave, Staten Island, NY 10305",4 bds,3 ba,"2,450 sqft",- Multi-family home for sale
422,422,"$841,750","247 Driggs Ave #4A, Brooklyn, NY 11222",1 bd,1 ba,-- sqft,- For sale by owner
423,423,"$2,475,000","308 E 79th St #14EF, New York, NY 10075",3 bds,2 ba,"1,800 sqft",- For sale by owner
424,424,"$789,000","16 Waldo Pl, Staten Island, NY 10314",5 bds,4 ba,"2,500 sqft",- House for sale
425,425,"$539,000","134 Willow Rd W, Staten Island, NY 10303",3 bds,2 ba,"1,274 sqft",- House for sale
426,426,"$66,000,000","111 W 57th St PENTHOUSE 72, New York, NY 10019",4 bds,6 ba,"7,130 sqft",- Condo for sale
427,427,"$649,998","20 Forrestal Ct, Staten Island, NY 10312",3 bds,4 ba,"1,368 sqft",- House for sale
428,428,"$399,900","409 Lisk Ave, Staten Island, NY 10303",3 bds,2 ba,"1,344 sqft",- House for sale
429,429,"$995,000","111 E 56th St #1700, New York, NY 10022",2 bds,3 ba,"2,000 sqft",- Condo for sale
430,430,"$375,000","44 Prospect Park W APT D4, Brooklyn, NY 11215",Studio,1 ba,-- sqft,- Condo for sale
431,431,"$219,000","83-74 Talbot St #4F, Kew Gardens, NY 11415",1 bd,1 ba,725 sqft,- Condo for sale
432,432,"$1,189,000","25-43 34th St, Astoria, NY 11103",4 bds,3 ba,"1,880 sqft",- Multi-family home for sale
433,433,"$1,895,000","472 Greenwich St APT 6, New York, NY 10013",2 bds,2 ba,"1,100 sqft",- Condo for sale
434,434,"$690,000","2101 Frederick Douglass Blvd APT 5D, New York, NY 10026",1 bd,1 ba,575 sqft,- For sale by owner
435,435,"$5,400,000","8124 11th Ave, Brooklyn, NY 11228",4 bds,5 ba,"4,500 sqft",- House for sale
436,436,"$550,000","310 Lexington Ave APT 14-F, New York, NY 10016",1 bd,1 ba,850 sqft,- Condo for sale
