,Address,Beds,Bathrooms,Square Footage,Property type
63,"157 W 57th St PENTHOUSE 87, New York, NY 10019",4 bds,5 ba,"6,234 sqft",- Condo for sale
64,"995 5th Ave, New York, NY 10028",6 bds,8 ba,"5,042 sqft",- Apartment for sale
65,"68 E 93rd St APT 3R, New York, NY 10128",2 bds,1 ba,850 sqft,- For sale by owner
66,"30 Park Pl #78A, New York, NY 10007",5 bds,7 ba,"6,127 sqft",- Condo for sale
67,"621 E 29th St, Brooklyn, NY 11210",4 bds,2 ba,"2,484 sqft",- House for sale
68,"1545 Robertson Pl, Bronx, NY 10465",2 bds,2 ba,"1,428 sqft",- House for sale
69,"19 Elizabeth St, Staten Island, NY 10310",3 bds,2 ba,"1,302 sqft",- House for sale
70,"424 E 115th St #2C, New York, NY 10029",Studio,1 ba,200 sqft,- Condo for sale
71,"137-23 249th St, Rosedale, NY 11422",3 bds,2 ba,-- sqft,- Multi-family home for sale
72,"420 E 51st St APT 3D, New York, NY 10022",2 bds,2 ba,"1,250 sqft",- Condo for sale
73,"13543 120th St, Jamaica, NY 11420",4 bds,3 ba,"2,352 sqft",- Multi-family home for sale
74,"443 Thieriot Ave, Bronx, NY 10473",6 bds,3 ba,"2,410 sqft",- House for sale
75,"343 E 74th St PENTHOUSE 1D, New York, NY 10021",3 bds,4 ba,"1,862 sqft",- Apartment for sale
76,"217 W 57th St #122, New York, NY 10019",5 bds,10 ba,"7,074 sqft",- Condo for sale
77,"526 W 158th St APT 51, New York, NY 10032",3 bds,1 ba,900 sqft,- Condo for sale
78,"100 W 57th St #19N, New York, NY 10019",1 bd,1 ba,900 sqft,- Condo for sale
79,"6604 Avenue T, Brooklyn, NY 11234",5 bds,3 ba,"1,260 sqft",- House for sale
80,"1004 Throggs Neck Expy #SR, Bronx, NY 10465",3 bds,2 ba,"1,296 sqft",- House for sale
81,"3366 Agar Pl, Bronx, NY 10465",3 bds,3 ba,"2,590 sqft",- House for sale
82,"526 W 158th St APT 62, New York, NY 10032",3 bds,1 ba,850 sqft,- Condo for sale
83,"1515 W 7th St APT 4B, Brooklyn, NY 11204",1 bd,1 ba,800 sqft,- Condo for sale
84,"153 Chambers St, New York, NY 10007",3 bds,3 ba,"2,500 sqft",- Condo for sale
85,"15 Central Park W, New York, NY 10023",5 bds,7 ba,"5,902 sqft",- Condo for sale
86,"9934 Bellaire Pl, Jamaica, NY 11429",3 bds,1 ba,"1,400 sqft",- House for sale
87,"60-18 77th St, Middle Village, NY 11379",3 bds,3 ba,-- sqft,- House for sale
88,"424 E 115th St #3A, New York, NY 10029",Studio,1 ba,200 sqft,- Condo for sale
89,"933 W Fingerboard Rd, Staten Island, NY 10304",3 bds,3 ba,"2,211 sqft",- House for sale
90,"36 Bleecker St, New York, NY 10012",3 bds,3 ba,"2,542 sqft",- Condo for sale
91,"30 Park Pl #78B, New York, NY 10007",5 bds,7 ba,"5,937 sqft",- Condo for sale
92,"855 E 178th St APT 3E, Bronx, NY 10460",1 bd,1 ba,600 sqft,- Condo for sale
93,"100 W 57th St APT 3G, New York, NY 10019",1 bd,1 ba,950 sqft,- Condo for sale
94,"755 Schenck Ave, Brooklyn, NY 11207",9 bds,3 ba,"2,976 sqft",- Multi-family home for sale
95,"678 Saint Nicholas Ave APT 32, New York, NY 10030",1 bd,1 ba,"25,986 sqft",- Condo for sale
96,"429 Doane Ave, Staten Island, NY 10308",4 bds,2 ba,"2,016 sqft",- House for sale
97,"281 Wyona St, Brooklyn, NY 11207",9 bds,4 ba,"3,075 sqft",- Foreclosure
98,"1170 Ocean Pkwy APT 7J, Brooklyn, NY 11230",2 bds,1 ba,"1,050 sqft",- Condo for sale
99,"91-15 164th Ave, Howard Beach, NY 11414",3 bds,2 ba,"1,680 sqft",- House for sale
100,"61 E 77th St, New York, NY 10075",1 bd,2 ba,"49,000 sqft",- Condo for sale
101,"318 Beach 101 St, Rockaway Park, NY 11694",2 bds,2 ba,"1,010 sqft",- House for sale
102,"303 E 57th St APT 44G, New York, NY 10022",3 bds,4 ba,"3,300 sqft",- Condo for sale
103,"1399 Park Ave #19B, New York, NY 10029",4 bds,3 ba,"2,208 sqft",- Condo for sale
104,"488 Philip Ave, Staten Island, NY 10312",5 bds,4 ba,"4,800 sqft",- House for sale
105,"8121 Shore Rd, Brooklyn, NY 11209",7 bds,8 ba,"10,010 sqft",- House for sale
106,"902 E 48th St, Brooklyn, NY 11203",3 bds,2 ba,"1,288 sqft",- House for sale
107,"625 W 246th St, Bronx, NY 10471",8 bds,8 ba,"7,000 sqft",- House for sale
108,"350 W 246th St, Bronx, NY 10471",3 bds,3 ba,"2,635 sqft",- House for sale
109,"136-13 243rd St, Rosedale, NY 11422",3 bds,2 ba,"1,153 sqft",- House for sale
110,"13437 155th St, Jamaica, NY 11434",4 bds,2 ba,"1,920 sqft",- House for sale
111,"915 Jefferson Ave, Brooklyn, NY 11221",4 bds,5 ba,"2,000 sqft",- Multi-family home for sale
112,"946 Hoe Ave APT 3B, Bronx, NY 10459",3 bds,1 ba,"17,550 sqft",- Condo for sale
113,"311 E 3rd St APT 28, New York, NY 10009",2 bds,1 ba,"20,076 sqft",- Condo for sale
114,"293 Lafayette St #PH1, New York, NY 10012",5 bds,7 ba,"7,241 sqft",- Condo for sale
115,"1084 Gipson St, Far Rockaway, NY 11691",4 bds,3 ba,"1,818 sqft",- House for sale
116,"451 W 24th St, New York, NY 10011",4 bds,5 ba,"5,000 sqft",- House for sale
117,"554 E 18th St, Brooklyn, NY 11226",5 bds,5 ba,"4,000 sqft",- House for sale
118,"13181 Francis Lewis Blvd, Laurelton, NY 11413",3 bds,1 ba,"1,479 sqft",- House for sale
119,"140-16 135th Ave, Jamaica, NY 11436",0.91 acres lot,- Lot / Land for sale,empty,empty
120,"13016 129th St, Jamaica, NY 11420",6 bds,2 ba,"2,300 sqft",- Multi-family home for sale
121,"550 W 29th St PENTHOUSE B, New York, NY 10001",4 bds,5 ba,"3,290 sqft",- Condo for sale
122,"2052 Bathgate Ave, Bronx, NY 10457",5 bds,3 ba,"1,516 sqft",- House for sale
123,"750 W 232nd St, Bronx, NY 10463",5 bds,6 ba,"7,000 sqft",- House for sale
124,"160 E 81st St, New York, NY 10028",8 bds,9 ba,550 sqft,- Townhouse for sale
125,"83 Weldon St, Brooklyn, NY 11208",5 bds,4 ba,"2,808 sqft",- House for sale
126,"1200 E 53rd St APT 7G, Brooklyn, NY 11234",2 bds,1 ba,-- sqft,- Condo for sale
127,"246 83rd St, Brooklyn, NY 11209",6 bds,5 ba,"7,800 sqft",- House for sale
128,"31 E 56th St, Brooklyn, NY 11203",5 bds,4 ba,"2,124 sqft",- Multi-family home for sale
129,"15508 Linden Blvd, Jamaica, NY 11434",3 bds,2 ba,-- sqft,- House for sale
130,"112-19 34th Ave APT 3H, Corona, NY 11368",2 bds,1 ba,"1,000 sqft",- Foreclosure
131,"15 Central Park W PENTHOUSE 41, New York, NY 10023",4 bds,4 ba,"4,024 sqft",- Condo for sale
132,"668 Halsey St #4, Brooklyn, NY 11233",2 bds,3 ba,908 sqft,- For sale by owner
133,"8 E 63rd St, New York, NY 10065",9 bds,12 ba,"10,000 sqft",- Townhouse for sale
134,"105 W 77th St APT 5C, New York, NY 10024",1 bd,1 ba,429 sqft,- For sale by owner
135,"1463 Kennellworth Pl, Bronx, NY 10465",3 bds,2 ba,752 sqft,- House for sale
136,"2023 Belmont Ave APT 3A, Bronx, NY 10457",2 bds,1 ba,731 sqft,- Condo for sale
137,"2434 W 3rd St, Brooklyn, NY 11223",4 bds,3 ba,"1,930 sqft",- Multi-family home for sale
138,"2156 Cruger Ave APT 4D, Bronx, NY 10462",3 bds,1 ba,"1,250 sqft",- Condo for sale
139,"2063 Turnbull Ave, Bronx, NY 10473",2 bds,1 ba,"2,172 sqft",- House for sale
140,"100 W 57th St APT 12I, New York, NY 10019",Studio,1 ba,650 sqft,- Condo for sale
141,"205 E 63rd St APT 15D, New York, NY 10065",2 bds,2 ba,-- sqft,- Condo for sale
142,"106 Utica Ave, Brooklyn, NY 11213",3 bds,2 ba,"1,080 sqft",- House for sale
143,"699 Pelton Ave, Staten Island, NY 10310",4 bds,3 ba,"3,354 sqft",- House for sale
144,"120-01 18th Ave #2, College Pt, NY 11356",6 bds,3 ba,"3,552 sqft",- Multi-family home for sale
145,"271 Hicks St, Brooklyn, NY 11201",6 bds,9 ba,"6,354 sqft",- House for sale
146,"100-36 Bellaire, Queens Village, NY 11429",4 bds,3 ba,"1,496 sqft",- House for sale
147,"23-35 Bell Blvd #1A, Bayside, NY 11360",2 bds,1 ba,950 sqft,- Condo for sale
148,"320 E 14th St APT 5, New York, NY 10003",4 bds,3 ba,"5,265 sqft",- Condo for sale
149,"190-15 105th Ave, Saint Albans, NY 11412",4 bds,11 ba,-- sqft,- House for sale
150,"53 W 53rd St #62, New York, NY 10019",4 bds,5 ba,"6,954 sqft",- Condo for sale
151,"515 W 18th St PENTHOUSE 2201, New York, NY 10011",3 bds,4 ba,"2,614 sqft",- Condo for sale
152,"163-45 Cross Bay Blvd, Howard Beach, NY 11414",3 bds,2 ba,-- sqft,- House for sale
153,"854 5th Ave, New York, NY 10065",Studio,-- ba,"20,000 sqft",- Townhouse for sale
154,"100 W 57th St APT 5J, New York, NY 10019",2 bds,2 ba,"1,200 sqft",- Condo for sale
155,"178 8th Ave, Brooklyn, NY 11215",5 bds,4 ba,"6,070 sqft",- House for sale
156,"2423 Butler Pl, Bronx, NY 10461",3 bds,2 ba,"1,272 sqft",- House for sale
157,"1647 E 37th St, Brooklyn, NY 11234",4 bds,4 ba,"1,250 sqft",- House for sale
158,"179-01 135th Ave, Jamaica, NY 11434",6 bds,5 ba,"2,060 sqft",- Multi-family home for sale
159,"14720 257th St, Jamaica, NY 11422",4 bds,2 ba,"2,350 sqft",- House for sale
160,"113-42 Springfield Blvd #A, Queens Village, NY 11429",5 bds,3 ba,-- sqft,- Multi-family home for sale
161,"303 W 122nd St #34, New York, NY 10027",3 bds,1 ba,"1,090 sqft",- Condo for sale
162,"21719 Hempstead Ave, Jamaica, NY 11429",3 bds,2 ba,"1,528 sqft",- House for sale
163,"14-46 30th Rd, Astoria, NY 11102",6 bds,4 ba,"2,700 sqft",- Multi-family home for sale
164,"26 Bank St, New York, NY 10014",4 bds,5 ba,"4,664 sqft",- Townhouse for sale
165,"100 W 141st St APT 37, New York, NY 10030",4 bds,1 ba,"1,250 sqft",- Condo for sale
166,"272 Buttrick Ave #KK3, Bronx, NY 10465",3 bds,2 ba,920 sqft,- Condo for sale
167,"166-42 17th Rd #3118, Whitestone, NY 11357",2 bds,1 ba,800 sqft,- Condo for sale
168,"36 Grace Ct, Brooklyn, NY 11201",6 bds,5 ba,"4,210 sqft",- House for sale
169,"298 E 2nd St #3, New York, NY 10009",3 bds,3 ba,"1,838 sqft",- Condo for sale
