,Address,Beds,Bathrooms,Square Footage,Property type
273,"343 E 18th St, New York, NY 10003",6 bds,5 ba,"6,000 sqft",- Townhouse for sale
274,"422 W 49th St #1A, New York, NY 10019",Studio,1 ba,375 sqft,- Condo for sale
275,"975 Union Ave APT 20, Bronx, NY 10459",2 bds,1 ba,800 sqft,- Condo for sale
276,"17 Bowen St, Staten Island, NY 10304",3 bds,2 ba,"1,176 sqft",- House for sale
277,"2168 66th St, Brooklyn, NY 11204",-- bds,3 ba,"2,008 sqft",- Multi-family home for sale
278,"301 E 81st St PENTHOUSE 20, New York, NY 10028",5 bds,7 ba,"5,383 sqft",- Condo for sale
279,"79 Lamport Blvd, Staten Island, NY 10305",3 bds,2 ba,"1,312 sqft",- House for sale
280,"38 Gramercy Park N APT 1C, New York, NY 10010",Studio,1 ba,-- sqft,- Condo for sale
281,"3238 Layton Ave, Bronx, NY 10465",3 bds,3 ba,"1,116 sqft",- House for sale
282,"809 Halsey St, Brooklyn, NY 11233",5 bds,4 ba,"3,000 sqft",- Multi-family home for sale
283,"105 W 122nd St, New York, NY 10027",5 bds,6 ba,"4,300 sqft",- Townhouse for sale
284,"2140 Knapp St APT 3E, Brooklyn, NY 11229",2 bds,1 ba,950 sqft,- Condo for sale
285,"231 Albany Ave, Brooklyn, NY 11213",5 bds,4 ba,"3,024 sqft",- Townhouse for sale
286,"23-25 Bell Blvd #6-G, Bayside, NY 11360",3 bds,2 ba,-- sqft,- Condo for sale
287,"134 Decatur St, Brooklyn, NY 11216",5 bds,3 ba,"3,600 sqft",- Multi-family home for sale
288,"150 E 49th St, New York, NY 10017",2 bds,2 ba,"4,414 sqft",- Condo for sale
289,"1160 Colgate Ave APT 4B, Bronx, NY 10472",1 bd,1 ba,600 sqft,- Condo for sale
290,"30 Dintree Ln, Staten Island, NY 10307",3 bds,4 ba,"2,112 sqft",- House for sale
291,"30 Park Pl #82, New York, NY 10007",3 bds,5 ba,"4,538 sqft",- Condo for sale
292,"251 Quincy Ave, Bronx, NY 10465",4 bds,3 ba,"2,100 sqft",- Multi-family home for sale
293,"190 E 72nd St APT 31B, New York, NY 10021",2 bds,2 ba,-- sqft,- Condo for sale
294,"484 Greenwich St, New York, NY 10013",4 bds,7 ba,"9,715 sqft",- Townhouse for sale
295,"7101 Shore Rd #2, Brooklyn, NY 11209",2 bds,2 ba,"1,150 sqft",- Condo for sale
296,"1019 Van Siclen Ave APT 7D, Brooklyn, NY 11207",3 bds,2 ba,"1,186 sqft",- Condo for sale
297,"209-15 18th Ave APT 5F, Bayside, NY 11360",3 bds,2 ba,-- sqft,- New construction
298,"13921 85th Dr APT 1C, Jamaica, NY 11435",2 bds,1 ba,-- sqft,- Condo for sale
299,"1647 E 37th St #1, Brooklyn, NY 11234",4 bds,4 ba,"1,024 sqft",- House for sale
300,"1867 7th Ave #2A, New York, NY 10026",2 bds,1 ba,766 sqft,- Foreclosure
301,"736 Bergen St, Brooklyn, NY 11238",4 bds,2 ba,"2,000 sqft",- For sale by owner
302,"1993 Amsterdam Ave APT 64, New York, NY 10032",2 bds,1 ba,700 sqft,- Condo for sale
303,"73 Wooster St APT 2B, New York, NY 10012",4 bds,4 ba,"4,511 sqft",- Condo for sale
304,"910 Todt Hill Rd, Staten Island, NY 10304",4 bds,4 ba,"2,200 sqft",- House for sale
305,"90-59 56th Ave #2, Elmhurst, NY 11373",3 bds,2 ba,-- sqft,- Condo for sale
306,"71 Elm St, Staten Island, NY 10310",3 bds,4 ba,"2,585 sqft",- House for sale
307,"566 Hendrix St, Brooklyn, NY 11207",3 bds,2 ba,"1,134 sqft",- House for sale
308,"944 E 178th St #A, Bronx, NY 10460",2 bds,1 ba,800 sqft,- Condo for sale
309,"103-30 68th Ave APT 4A, Forest Hills, NY 11375",1 bd,1 ba,750 sqft,- For sale by owner
310,"2475 W 16th St APT 14C, Brooklyn, NY 11214",3 bds,2 ba,"1,250 sqft",- Condo for sale
311,"124 W 132nd St, New York, NY 10027",5 bds,6 ba,"4,250 sqft",- Townhouse for sale
312,"965C Kent Ave #C3, Brooklyn, NY 11205",3 bds,2 ba,"2,025 sqft",- Condo for sale
313,"69-21 Manse St, Forest Hills, NY 11375",3 bds,3 ba,"1,350 sqft",- House for sale
314,"316 W 47th St APT 3RE, New York, NY 10036",1 bd,1 ba,328 sqft,- Condo for sale
315,"30 Grove St, New York, NY 10014",5 bds,6 ba,"5,864 sqft",- Townhouse for sale
316,"230 Tompkins Ave, Brooklyn, NY 11216",4 bds,3 ba,"2,300 sqft",- House for sale
317,"9059 56th Ave APT 2K, Elmhurst, NY 11373",3 bds,2 ba,-- sqft,- Condo for sale
318,"190 E 72nd St APT 11B, New York, NY 10021",2 bds,2 ba,-- sqft,- Condo for sale
319,"1657 Fowler Ave, Bronx, NY 10462",3 bds,2 ba,"1,512 sqft",- House for sale
320,"636 E 14th St APT 6, New York, NY 10009",1 bd,1 ba,500 sqft,- Condo for sale
321,"1947 65th St FLOOR 4C-4, Brooklyn, NY 11204",1 bd,1 ba,650 sqft,- Condo for sale
322,"1947 65th St APT 4C, Brooklyn, NY 11204",1 bd,1 ba,650 sqft,- Condo for sale
323,"333 E 91st St APT 29D, New York, NY 10128",2 bds,3 ba,"1,499 sqft",- Apartment for sale
324,"246 E 90th St APT 5B, New York, NY 10128",1 bd,1 ba,-- sqft,- Condo for sale
325,"21-27 33rd St APT 5G, Astoria, NY 11105",2 bds,1 ba,-- sqft,- Condo for sale
326,"50 Lexington Ave APT 19E, New York, NY 10010",2 bds,2 ba,"1,050 sqft",- Apartment for sale
327,"1827 83rd St #2C, Brooklyn, NY 11214",3 bds,2 ba,"1,120 sqft",- Condo for sale
328,"906 Putnam Ave, Brooklyn, NY 11221",3 bds,2 ba,"1,640 sqft",- Multi-family home for sale
329,"161 Lamped Loop #A54, Staten Island, NY 10314",4 bds,2 ba,"1,318 sqft",- Apartment for sale
330,"775 Lafayette Ave APT 14E, Brooklyn, NY 11221",2 bds,2 ba,986 sqft,- Condo for sale
331,"814 Tilden St #3C, Bronx, NY 10467",1 bd,1 ba,750 sqft,- Condo for sale
332,"342 E 110th St #7D, New York, NY 10029",2 bds,2 ba,820 sqft,- Condo for sale
333,"4231 Bruner Ave, Bronx, NY 10466",3 bds,2 ba,"1,185 sqft",- Auction
334,"125 Arbutus Ave, Staten Island, NY 10312",4 bds,4 ba,"2,270 sqft",- House for sale
335,"3347 Lucerne St, Bronx, NY 10465",4 bds,2 ba,"2,040 sqft",- House for sale
336,"327 Admiral Ln #1327D, Bronx, NY 10473",3 bds,3 ba,"1,377 sqft",- Condo for sale
337,"269 W 153rd St UNIT 12, New York, NY 10039",4 bds,1 ba,-- sqft,- Condo for sale
338,"346B 13th St, Brooklyn, NY 11215",4 bds,5 ba,"3,333 sqft",- House for sale
339,"456 W 167th St APT 3D, New York, NY 10032",2 bds,2 ba,728 sqft,- Condo for sale
340,"130 Lenox Ave APT 206, New York, NY 10026",2 bds,1 ba,-- sqft,- For sale by owner
341,"4318 De Reimer Ave, Bronx, NY 10466",3 bds,2 ba,"1,450 sqft",- House for sale
342,"379 2nd St, Brooklyn, NY 11215",4 bds,2 ba,"2,536 sqft",- House for sale
343,"929 Park Ave #1A, New York, NY 10028",2 bds,2 ba,800 sqft,- Condo for sale
344,"96 Fort Greene Pl, Brooklyn, NY 11217",6 bds,6 ba,"3,980 sqft",- Townhouse for sale
345,"234-34 133rd Ave #1, Rosedale, NY 11422",1 bd,1 ba,700 sqft,- Condo for sale
346,"190-15 121st Ave, Saint Albans, NY 11412",6 bds,5 ba,-- sqft,- Multi-family home for sale
347,"130 Henry St APT 4F, Brooklyn, NY 11201",Studio,1 ba,-- sqft,- Condo for sale
348,"1534 W 10th St, Brooklyn, NY 11204",7 bds,4 ba,"3,600 sqft",- Multi-family home for sale
349,"4706 201st St, Bayside, NY 11361",3 bds,3 ba,-- sqft,- House for sale
350,"16433 83rd St, Jamaica, NY 11414",6 bds,5 ba,-- sqft,- House for sale
351,"1646 Bogart Ave, Bronx, NY 10462",8 bds,3 ba,"3,300 sqft",- Multi-family home for sale
352,"242 S 1st St APT 1E, Brooklyn, NY 11211",2 bds,2 ba,"1,432 sqft",- Condo for sale
353,"57 Birch Rd, Staten Island, NY 10303",5 bds,2 ba,"2,410 sqft",- Multi-family home for sale
354,"34 E 62nd St, Manhattan, NY 10065",5 bds,11 ba,"9,200 sqft",- Townhouse for sale
355,"2107 Wallace Ave APT 6D, Bronx, NY 10462",Studio,1 ba,600 sqft,- Foreclosure
356,"183 Vanderbilt Ave #T, Brooklyn, NY 11205",2 bds,2 ba,"1,900 sqft",- Townhouse for sale
357,"21-77 33rd St #5F, Astoria, NY 11105",4 bds,1 ba,"1,500 sqft",- Condo for sale
358,"10 Arkansas Ave, Staten Island, NY 10308",4 bds,3 ba,"2,400 sqft",- House for sale
359,"370 Union St APT 3B, Brooklyn, NY 11231",3 bds,1 ba,"1,025 sqft",- For sale by owner
360,"264-26 Langston Ave #A, Glen Oaks, NY 11004",2 bds,1 ba,-- sqft,- Condo for sale
361,"7 Ledyard Pl, Staten Island, NY 10305",3 bds,4 ba,"2,100 sqft",- House for sale
362,"929 72nd St, Brooklyn, NY 11228",3 bds,3 ba,"2,248 sqft",- House for sale
363,"2143 Clinton Ave, Bronx, NY 10457",4 bds,2 ba,"1,320 sqft",- House for sale
364,"2911 D Ave, Brooklyn, NY 11226",-- bds,3 ba,"2,160 sqft",- Multi-family home for sale
365,"156 E 97th St APT 18, New York, NY 10029",1 bd,1 ba,400 sqft,- Condo for sale
366,"1062 Bergen St APT 2D, Brooklyn, NY 11216",2 bds,1 ba,433 sqft,- Condo for sale
367,"26 Jamie Ln, Staten Island, NY 10312",4 bds,3 ba,"1,553 sqft",- Condo for sale
368,"97-20 102nd St, Ozone Park, NY 11416",6 bds,2 ba,-- sqft,- Multi-family home for sale
369,"3255 110th St, Flushing, NY 11369",4 bds,3 ba,"1,890 sqft",- Multi-family home for sale
370,"454 Yetman Ave, Staten Island, NY 10307",5 bds,4 ba,"2,996 sqft",- Multi-family home for sale
371,"400 Linden St PENTHOUSE E, Brooklyn, NY 11237",1 bd,1 ba,495 sqft,- Condo for sale
372,"303 E 57th St APT 43G, New York, NY 10022",4 bds,5 ba,"3,300 sqft",- Condo for sale
373,"115A Nelson Ave, Staten Island, NY 10308",3 bds,2 ba,"1,648 sqft",- House for sale
374,"280 Washington Ave, Brooklyn, NY 11205",7 bds,8 ba,"10,000 sqft",- Townhouse for sale
375,"85 Jay St #B, Brooklyn, NY 11201",4 bds,5 ba,"3,068 sqft",- Condo for sale
376,"1828 Richmond Ter, Staten Island, NY 10310",0.3 acres lot,- Lot / Land for sale,empty,empty
377,"2458 National Dr, Brooklyn, NY 11234",5 bds,5 ba,"14,000 sqft",- Off market: Zestimate
378,"314 Harold St, Staten Island, NY 10314",3 bds,3 ba,"1,088 sqft",- House for sale
379,"160 E 2nd St APT 4A, New York, NY 10009",1 bd,1 ba,550 sqft,- Condo for sale
380,"170 W 76th St PENTHOUSE 3, New York, NY 10023",3 bds,4 ba,"1,700 sqft",- For sale by owner
381,"309 E 105th St APT 3N, New York, NY 10029",2 bds,1 ba,726 sqft,- Condo for sale
382,"1200 E 53rd St APT 5F, Brooklyn, NY 11234",2 bds,1 ba,850 sqft,- Condo for sale
383,"296 Garfield Pl APT 2R, Brooklyn, NY 11215",1 bd,1 ba,"6,060 sqft",- Condo for sale
384,"7-04 166th St #2A, Whitestone, NY 11357",2 bds,1 ba,"1,000 sqft",- Foreclosure
385,"3289 Lafayette Ave, Bronx, NY 10465",2 bds,1 ba,675 sqft,- House for sale
386,"108 W 114th St APT 3B, New York, NY 10026",1 bd,1 ba,381 sqft,- Condo for sale
387,"6607 52nd Ave, Flushing, NY 11378",6 bds,2 ba,-- sqft,- Multi-family home for sale
388,"168 Bradford St, Brooklyn, NY 11207",4 bds,2 ba,-- sqft,- House for sale
389,"35 Alaska St, Staten Island, NY 10310",3 bds,3 ba,"1,008 sqft",- Townhouse for sale
390,"235 Sunset Blvd, Bronx, NY 10473",3 bds,3 ba,-- sqft,- Foreclosure
391,"116 Sherman Ave, Staten Island, NY 10301",4 bds,3 ba,"1,705 sqft",- House for sale
392,"108 Bedford Ave, Staten Island, NY 10306",4 bds,3 ba,"1,304 sqft",- House for sale
393,"71 Sullivan St, New York, NY 10012",3 bds,2 ba,950 sqft,- Condo for sale
394,"12-15 Broadway #623, Astoria, NY 11106",1 bd,1 ba,664 sqft,- For sale by owner
395,"6820 17th Ave, Brooklyn, NY 11204",5 bds,3 ba,"2,120 sqft",- House for sale
396,"47-49 Charles St, New York, NY 10014",6 bds,8 ba,"8,775 sqft",- Townhouse for sale
397,"333 E 43rd St APT 909, New York, NY 10017",1 bd,1 ba,"149,000 sqft",- Condo for sale
398,"321 W 55th St APT 24, New York, NY 10019",2 bds,1 ba,-- sqft,- For sale by owner
399,"303 E 57th St APT 30D, New York, NY 10022",2 bds,2 ba,"1,100 sqft",- Condo for sale
400,"700 Brook Ave APT 3D, Bronx, NY 10455",2 bds,1 ba,872 sqft,- Condo for sale
401,"7620 Bay Pkwy APT 6A, Brooklyn, NY 11214",3 bds,3 ba,"1,325 sqft",- Condo for sale
402,"6495 Broadway APT 4L, Bronx, NY 10471",1 bd,1 ba,800 sqft,- Foreclosure
403,"315 E 68th St APT 13J, New York, NY 10065",1 bd,1 ba,-- sqft,- For sale by owner
404,"1091 Bushwick Ave APT 3D, Brooklyn, NY 11221",1 bd,1 ba,"12,480 sqft",- Condo for sale
405,"240 E 47th St APT 32C, New York, NY 10017",2 bds,3 ba,"1,433 sqft",- Condo for sale
406,"2265 Edsall Ave, Bronx, NY 10463",3 bds,3 ba,"2,200 sqft",- House for sale
407,"2701 Goethals Rd N APT F20, Staten Island, NY 10303",2 bds,1 ba,840 sqft,- House for sale
408,"123-22 146th St, Jamaica, NY 11436",2 bds,1 ba,-- sqft,- House for sale
409,"1837 26th Ave, Long Island City, NY 11102",3 bds,3 ba,"2,376 sqft",- Multi-family home for sale
410,"6606 Grand Central Pkwy APT 3A, Forest Hills, NY 11375",2 bds,1 ba,777 sqft,- Condo for sale
411,"141 State St, Brooklyn, NY 11201",6 bds,5 ba,"7,600 sqft",- Townhouse for sale
412,"626 Arthur Kill Rd, Staten Island, NY 10308",4 bds,2 ba,"1,736 sqft",- Multi-family home for sale
413,"2187 Holland Ave APT 3L, Bronx, NY 10462",1 bd,1 ba,700 sqft,- Condo for sale
414,"198 Shiel Ave, Staten Island, NY 10309",3 bds,3 ba,"1,400 sqft",- House for sale
415,"875 5th Ave, New York, NY 10065",4 bds,6 ba,"224,000 sqft",- Condo for sale
416,"11 Van Buren St, Staten Island, NY 10301",3 bds,2 ba,"2,441 sqft",- Multi-family home for sale
417,"18-50 211th St APT 4A, Bayside, NY 11360",2 bds,1 ba,-- sqft,- Condo for sale
418,"7311 69th Ave, Flushing, NY 11379",2 bds,2 ba,-- sqft,- House for sale
419,"12347 Inwood St, Jamaica, NY 11436",4 bds,3 ba,"1,505 sqft",- House for sale
420,"52-24 65th Pl #6K, Maspeth, NY 11378",2 bds,1 ba,-- sqft,- Condo for sale
421,"210 Stanley Ave, Staten Island, NY 10301",4 bds,3 ba,"1,069 sqft",- House for sale
422,"24 Leonard St, New York, NY 10013",6 bds,7 ba,"7,261 sqft",- Condo for sale
423,"303 E 57th St APT 27L, New York, NY 10022",Studio,1 ba,-- sqft,- Condo for sale
424,"13312 125th St, Ozone Park, NY 11420",3 bds,2 ba,-- sqft,- House for sale
425,"678 Minnieford Ave, Bronx, NY 10464",2 bds,1 ba,970 sqft,- House for sale
426,"36 Prince Ln, Staten Island, NY 10309",2 bds,3 ba,"1,675 sqft",- Condo for sale
427,"400 Linden St PENTHOUSE F, Brooklyn, NY 11237",2 bds,2 ba,785 sqft,- Condo for sale
428,"139-21 85th Dr #C1, Jamaica, NY 11435",2 bds,1 ba,-- sqft,- Condo for sale
429,"69-51 178th St, Fresh Meadows, NY 11365",4 bds,2 ba,-- sqft,- House for sale
430,"424 E 115th St #2A, New York, NY 10029",Studio,1 ba,200 sqft,- Condo for sale
431,"20 Continental Ave APT 3H, Flushing, NY 11375",1 bd,1 ba,"1,001 sqft",- Condo for sale
432,"115A Stack Dr FLOOR 2, Staten Island, NY 10312",2 bds,1 ba,"1,043 sqft",- Condo for sale
433,"553 9th St, Brooklyn, NY 11215",6 bds,3 ba,"3,000 sqft",- For sale by owner
434,"1758 E 53rd St, Brooklyn, NY 11234",5 bds,2 ba,"1,760 sqft",- Multi-family home for sale
435,"1361 E 89th St, Brooklyn, NY 11236",3 bds,2 ba,"1,320 sqft",- House for sale
436,"23 Waverly Pl APT 6S, New York, NY 10003",1 bd,1 ba,-- sqft,- Condo for sale
437,"1615 Harding Park, Bronx, NY 10473",4 bds,2 ba,"1,452 sqft",- House for sale
438,"248 Delafield Ave, Staten Island, NY 10310",3 bds,2 ba,"1,491 sqft",- House for sale
439,"124 E 93rd St, New York, NY 10128",4 bds,6 ba,"3,620 sqft",- House for sale
440,"35 E 68th St APT 1B, New York, NY 10065",3 bds,2 ba,"1,700 sqft",- Condo for sale
441,"75 Etna St, Brooklyn, NY 11208",5 bds,4 ba,"3,180 sqft",- Multi-family home for sale
442,"820 Thomas S Boyland St, Brooklyn, NY 11212",9 bds,6 ba,"3,300 sqft",- Townhouse for sale
443,"1815 Pitman Ave, Bronx, NY 10466",3 bds,3 ba,"2,100 sqft",- New construction
444,"237A Hart St, Brooklyn, NY 11206",4 bds,3 ba,-- sqft,- Townhouse for sale
445,"932 Sinclair Ave, Staten Island, NY 10309",4 bds,2 ba,"2,100 sqft",- House for sale
446,"97 S 8th St APT 22, Brooklyn, NY 11249",2 bds,1 ba,-- sqft,- Condo for sale
447,"78-54 81st St, Ridgewood, NY 11385",3 bds,2 ba,-- sqft,- House for sale
448,"186 Flagg Pl, Staten Island, NY 10304",5 bds,9 ba,"7,182 sqft",- House for sale
449,"586 Quincy St, Brooklyn, NY 11221",5 bds,6 ba,"4,000 sqft",- Townhouse for sale
450,"32 1st Pl, Brooklyn, NY 11231",6 bds,5 ba,"6,075 sqft",- House for sale
451,"200 Hurlbert St, Staten Island, NY 10305",4 bds,3 ba,"1,873 sqft",- House for sale
452,"400 Linden St #C, Brooklyn, NY 11237",1 bd,1 ba,495 sqft,- Condo for sale
453,"139 W 131st St, New York, NY 10027",3 bds,4 ba,"3,816 sqft",- House for sale
454,"118 Wooster St #4C5C, New York, NY 10012",3 bds,3 ba,"2,476 sqft",- Condo for sale
455,"753 E 5th St APT 4A, New York, NY 10009",2 bds,2 ba,"1,100 sqft",- Condo for sale
456,"193 Edwin St, Staten Island, NY 10312",5 bds,5 ba,"2,736 sqft",- Multi-family home for sale
457,"131 Perry St APT 2A, New York, NY 10014",2 bds,2 ba,"1,555 sqft",- Condo for sale
458,"144-45 180th St, Jamaica, NY 11434",5 bds,2 ba,"1,500 sqft",- House for sale
459,"1901 Madison Ave APT 522, New York, NY 10035",3 bds,2 ba,"1,100 sqft",- Condo for sale
460,"94-51 217th St, Queens Village, NY 11428",4 bds,3 ba,-- sqft,- New construction
461,"3143 Schuyler Pl, Bronx, NY 10461",6 bds,3 ba,"2,507 sqft",- Multi-family home for sale
462,"1177 E 82nd St, Brooklyn, NY 11236",3 bds,2 ba,"1,120 sqft",- House for sale
463,"61-32 233rd St, Oakland Gardens, NY 11364",6 bds,6 ba,-- sqft,- Multi-family home for sale
464,"1831 Madison Ave APT 5D, New York, NY 10035",2 bds,2 ba,900 sqft,- For sale by owner
465,"1170 Ocean Pkwy PENTHOUSE I, Brooklyn, NY 11230",4 bds,2 ba,"1,892 sqft",- Condo for sale
466,"26 E 73rd St, New York, NY 10021",5 bds,8 ba,"7,500 sqft",- House for sale
467,"60 Dorothea Pl, Staten Island, NY 10306",3 bds,2 ba,"1,187 sqft",- House for sale
468,"1 W End Ave APT 36A, New York, NY 10023",4 bds,5 ba,"3,055 sqft",- Condo for sale
469,"66 Chestnut St, Brooklyn, NY 11208",4 bds,3 ba,"1,674 sqft",- House for sale
470,"2146 76th St, Flushing, NY 11370",3 bds,3 ba,"1,560 sqft",- Multi-family home for sale
471,"114 W 13th St, New York, NY 10011",4 bds,6 ba,"5,165 sqft",- House for sale
472,"602 158th St, Flushing, NY 11357",7 bds,10 ba,"7,500 sqft",- House for sale
473,"240 Riverside Blvd APT 12A, New York, NY 10069",5 bds,5 ba,"4,020 sqft",- Condo for sale
474,"113 Jefferson Ave, Brooklyn, NY 11216",5 bds,6 ba,"3,670 sqft",- Multi-family home for sale
475,"135-34 234th St, Rosedale, NY 11422",4 bds,2 ba,"1,344 sqft",- House for sale
476,"1 John St APT PHD, Brooklyn, NY 11201",4 bds,4 ba,"2,539 sqft",- Condo for sale
477,"66 Bartlett Ave, Staten Island, NY 10312",3 bds,1 ba,984 sqft,- House for sale
478,"529 Saint Lawrence Ave, Bronx, NY 10473",4 bds,3 ba,"1,800 sqft",- House for sale
479,"81 Milford St, Brooklyn, NY 11208",5 bds,2 ba,"1,200 sqft",- Multi-family home for sale
480,"35 Hudson Yards #PH90, New York, NY 10001",5 bds,7 ba,"10,171 sqft",- Condo for sale
481,"307 W 111th St APT 1W, New York, NY 10026",2 bds,1 ba,-- sqft,- Condo for sale
482,"227-15 112th Rd, Queens Village, NY 11429",4 bds,2 ba,"1,304 sqft",- Foreclosure
483,"155-12 115th Dr, Jamaica, NY 11434",3 bds,2 ba,-- sqft,- House for sale
484,"255 Kensington Ave, Staten Island, NY 10305",4 bds,3 ba,"2,050 sqft",- Foreclosure
485,"1172 Adee Ave #A, Bronx, NY 10469",3 bds,3 ba,-- sqft,- House for sale
486,"415 Annadale Rd, Staten Island, NY 10312",4 bds,3 ba,"3,500 sqft",- House for sale
487,"554 W 165th St, New York, NY 10032",9 bds,4 ba,"3,680 sqft",- Multi-family home for sale
488,"62-47 82nd St, Middle Village, NY 11379",3 bds,2 ba,-- sqft,- House for sale
489,"440 9th St APT 3, Brooklyn, NY 11215",1 bd,1 ba,"2,535 sqft",- Condo for sale
490,"1200 E 53rd St APT 3M, Brooklyn, NY 11234",Studio,1 ba,-- sqft,- Condo for sale
491,"2012 E 61st St, Brooklyn, NY 11234",3 bds,2 ba,"1,328 sqft",- Multi-family home for sale
492,"230 Central Park S #14, New York, NY 10019",3 bds,6 ba,"3,900 sqft",- Apartment for sale
493,"637A Westwood Ave, Staten Island, NY 10314",3 bds,2 ba,"1,224 sqft",- House for sale
494,"123 Lamport Blvd, Staten Island, NY 10305",3 bds,3 ba,"1,230 sqft",- House for sale
495,"33-47 14th St #12C, Astoria, NY 11106",3 bds,2 ba,-- sqft,- Condo for sale
496,"45 W 70th St, New York, NY 10023",6 bds,6 ba,"8,550 sqft",- Townhouse for sale
497,"1019 President St #2B, Brooklyn, NY 11225",1 bd,1 ba,835 sqft,- Condo for sale
498,"565 Broome St #S16B, New York, NY 10013",3 bds,4 ba,"3,576 sqft",- Condo for sale
499,"1957 Gildersleeve Ave, Bronx, NY 10473",3 bds,3 ba,"1,250 sqft",- House for sale
500,"1562 W 6th St #1D, Brooklyn, NY 11204",2 bds,2 ba,916 sqft,- Condo for sale
501,"412 Applegate Ct, Brooklyn, NY 11223",3 bds,2 ba,"1,200 sqft",- House for sale
502,"959 E 94th St, Brooklyn, NY 11236",4 bds,3 ba,"1,216 sqft",- House for sale
503,"35 Arkansas Ave, Staten Island, NY 10308",3 bds,3 ba,"1,500 sqft",- Multi-family home for sale
504,"4320 Van Cortlandt Park E APT 5B, Bronx, NY 10470",Studio,1 ba,550 sqft,- Condo for sale
505,"72-26 66th Rd, Middle Village, NY 11379",4 bds,4 ba,"3,500 sqft",- House for sale
506,"189 E 7th St, New York, NY 10009",3 bds,5 ba,"3,895 sqft",- House for sale
507,"2043 Homer Ave, Bronx, NY 10473",3 bds,2 ba,"1,540 sqft",- House for sale
508,"131-15 218th St, Springfield Gardens, NY 11413",8 bds,3 ba,-- sqft,- House for sale
509,"695 King Ave, Bronx, NY 10464",3 bds,2 ba,880 sqft,- House for sale
510,"20 E 73rd St, New York, NY 10021",8 bds,10 ba,"11,371 sqft",- Townhouse for sale
511,"133 Beach 120th St APT 1G, Rockaway Park, NY 11694",1 bd,1 ba,950 sqft,- Condo for sale
512,"79 Bay Ter, Staten Island, NY 10306",6 bds,3 ba,"2,444 sqft",- Multi-family home for sale
513,"2106 35th St APT 2B, Astoria, NY 11105",2 bds,1 ba,-- sqft,- Condo for sale
514,"732 W End Ave APT 3, New York, NY 10025",3 bds,3 ba,"1,777 sqft",- For sale by owner
515,"168-03 118th Rd, Jamaica, NY 11434",6 bds,4 ba,"1,500 sqft",- House for sale
516,"32 Champlain Ave, Staten Island, NY 10306",3 bds,4 ba,"2,267 sqft",- House for sale
517,"360 W 253rd St, Bronx, NY 10471",7 bds,8 ba,"15,000 sqft",- House for sale
518,"162 E 92nd St, New York, NY 10128",5 bds,7 ba,"10,000 sqft",- House for sale
519,"52 E 66th St, New York, NY 10065",6 bds,9 ba,"8,400 sqft",- Townhouse for sale
520,"1015 Summit Ave APT 2A, Bronx, NY 10452",Studio,1 ba,"36,900 sqft",- Condo for sale
521,"20 Wheeler Ave, Staten Island, NY 10314",4 bds,2 ba,"1,421 sqft",- New construction
522,"163 Lenox Ave #5A, New York, NY 10026",3 bds,1 ba,975 sqft,- Condo for sale
523,"347 E 59th St, Brooklyn, NY 11203",3 bds,3 ba,"1,400 sqft",- House for sale
524,"450 Clinton St APT 1B, Brooklyn, NY 11231",2 bds,2 ba,"1,100 sqft",- Condo for sale
525,"3187 Parsifal Pl, Bronx, NY 10465",3 bds,1 ba,"1,280 sqft",- House for sale
526,"26-14 30th St, Astoria, NY 11102",3 bds,3 ba,-- sqft,- House for sale
527,"1691 Monroe Ave, Bronx, NY 10457",7 bds,7 ba,"2,540 sqft",- Multi-family home for sale
528,"929 Vincent Ave, Bronx, NY 10465",3 bds,3 ba,"1,836 sqft",- House for sale
529,"2109 N Railroad Ave, Staten Island, NY 10306",3 bds,3 ba,"1,144 sqft",- House for sale
530,"208 E 62nd St, New York, NY 10065",4 bds,5 ba,"5,000 sqft",- Townhouse for sale
531,"279 Central Park W, New York, NY 10024",7 bds,8 ba,"6,713 sqft",- Condo for sale
532,"87-31 Clover Pl, Hollis, NY 11423",4 bds,5 ba,"5,016 sqft",- New construction
533,"232 W 10th St, New York, NY 10014",3 bds,3 ba,"2,684 sqft",- Townhouse for sale
534,"224 Lefferts Ave APT 1, Brooklyn, NY 11225",1 bd,1 ba,650 sqft,- Condo for sale
535,"36 Daffodil Ct, Staten Island, NY 10312",3 bds,2 ba,"1,339 sqft",- Condo for sale
536,"21-13 24th Rd #1HOME, Astoria, NY 11102",4 bds,3 ba,"1,600 sqft",- Multi-family home for sale
537,"2029 29th St, Long Island City, NY 11105",4 bds,2 ba,"2,050 sqft",- House for sale
538,"4342 Edson Ave, Bronx, NY 10466",4 bds,2 ba,"2,862 sqft",- Foreclosure
539,"300 W 145th St APT 4Q, New York, NY 10039",3 bds,2 ba,"1,118 sqft",- Apartment for sale
540,"162 E 2nd St APT C, New York, NY 10009",1 bd,1 ba,-- sqft,- Condo for sale
541,"2020 E 61st St, Brooklyn, NY 11234",3 bds,1 ba,"1,440 sqft",- House for sale
542,"2190 Brigham St APT 1C, Brooklyn, NY 11229",3 bds,1 ba,"1,200 sqft",- Condo for sale
543,"100 W 57th St APT 12Q, New York, NY 10019",Studio,1 ba,450 sqft,- Condo for sale
544,"60-22 59th Dr, Maspeth, NY 11378",3 bds,3 ba,-- sqft,- House for sale
